Master Category,Subcategory,Date,Location,Payee,Description,Payment Method,Amount
Auto/Transportation,Gasoline,5/9/2022,"PALM BEACH GA,FL",CHEVRON,"NEIGHBORS MARKET PALM BEACH GA,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$92.08 
Auto/Transportation,Gasoline,5/9/2022,"N PALM BEACH ,FL",SHELL,"SHELL OIL 57545115305 N PALM BEACH ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$56.01 
Auto/Transportation,Gasoline,4/30/2022,"N PALM BEACH ,FL",SHELL,"SHELL OIL 57545115305 N PALM BEACH ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$52.00 
Auto/Transportation,Gasoline,4/21/2022,"PALM BEACH GA,FL",CHEVRON,"NEIGHBORS MARKET PALM BEACH GA,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$62.19 
Auto/Transportation,Gasoline,4/21/2022,"N PALM BEACH ,FL",SHELL,"SHELL OIL 57545115305 N PALM BEACH ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$59.01 
Auto/Transportation,Gasoline,4/9/2022,"N PALM BEACH ,FL",SHELL,"SHELL OIL 57545115305 N PALM BEACH ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$53.00 
Auto/Transportation,Gasoline,3/29/2022,"N PALM BEACH ,FL",SHELL,"SHELL OIL 57545115305 N PALM BEACH ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$50.00 
Auto/Transportation,Gasoline,3/16/2022,"N PALM BEACH ,FL",SHELL,"SHELL OIL 57545115305 N PALM BEACH ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$57.61 
Auto/Transportation,Gasoline,3/9/2022,"WEST PALM BEA,FL",SHELL,"SHELL OIL 10052259008 WEST PALM BEA,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$70.09 
Auto/Transportation,Gasoline,3/4/2022,"N PALM BEACH ,FL",SHELL,"SHELL OIL 57545115305 N PALM BEACH ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$48.05 
Auto/Transportation,Gasoline,2/21/2022,"N PALM BEACH ,FL",SHELL,"SHELL OIL 57545115305 N PALM BEACH ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$43.00 
Auto/Transportation,Gasoline,2/11/2022,"N PALM BEACH ,FL",SHELL,"SHELL OIL 57545115305 N PALM BEACH ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$45.00 
Auto/Transportation,Gasoline,2/5/2022,"WEST PALM BEA,FL",SHELL,"SHELL OIL 10052259008 WEST PALM BEA,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$68.00 
Auto/Transportation,Gasoline,1/26/2022,"N PALM BEACH ,FL",SHELL,"SHELL OIL 57545115305 N PALM BEACH ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$47.02 
Auto/Transportation,Gasoline,1/17/2022,"PALM SPRINGS ,FL",SHELL,"SHELL OIL 12481082001 PALM SPRINGS ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$43.12 
Auto/Transportation,Gasoline,1/12/2022,"N PALM BEACH ,FL",SHELL,"SHELL OIL 57545115305 N PALM BEACH ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$47.01 
Auto/Transportation,Gasoline,1/8/2022,"PALM BEACH GA,FL",CHEVRON,"NEIGHBORS MARKET PALM BEACH GA,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$149.99 
Auto/Transportation,Parking/Tolls,11/18/2022,"FORT LAUDERDA,FL",ARENA OPERATING,"ARENA OPERATING COMPANY L FORT LAUDERDA,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$35.00 
Bills/Utilities,Phone/Internet,8/11/2022,"NORTH PALM BE,FL",T-MOBILE,"BOOST MOBILE (NORTHLAKE B NORTH PALM BE,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$15.90 
Bills/Utilities,Phone/Internet,3/7/2022,"PALM BEACH   ,FL",T-MOBILE,"BOOST MOBILE PALM BEACH   ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$302.49 
Business/Office,Office Supplies/Furniture,7/22/2022,"PALM BEACH GA,FL",OFFICE DEPOT,"OFFICE DEPOT #211 PALM BEACH GA,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$149.76 
Business/Office,Postage/Shipping,4/30/2022,"561-8449997  ,FL",THE UPS STORE,"THE UPS STORE 3410 561-8449997  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$13.00 
Business/Office,Postage/Shipping,1/10/2022,"800-238-3150 ,TN",UNITED STATES POSTAL SERVICE,"USPS CHANGE OF ADDRESS 800-238-3150 ,TN",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$1.10 
Business/Office,Wholesale,12/19/2022,"RIVIERA BEACH,FL",RESTAURANT DEPOT,"RESTAURANT DEPOT RIVIERA BEACH,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$107.46 
Business/Office,Wholesale,12/9/2022,"RIVIERA BEACH,FL",RESTAURANT DEPOT,"RESTAURANT DEPOT RIVIERA BEACH,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$109.70 
Business/Office,Wholesale,10/14/2022,"RIVIERA BEACH,FL",RESTAURANT DEPOT,"RESTAURANT DEPOT RIVIERA BEACH,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$176.74 
Business/Office,Wholesale,10/4/2022,"RIVIERA BEACH,FL",RESTAURANT DEPOT,"RESTAURANT DEPOT RIVIERA BEACH,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$53.64 
Business/Office,Wholesale,8/25/2022,"RIVIERA BEACH,FL",RESTAURANT DEPOT,"RESTAURANT DEPOT RIVIERA BEACH,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$95.26 
Business/Office,Wholesale,5/20/2022,"RIVIERA BEACH,FL",RESTAURANT DEPOT,"RESTAURANT DEPOT RIVIERA BEACH,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$94.49 
Business/Office,Wholesale,4/15/2022,"RIVIERA BEACH,FL",RESTAURANT DEPOT,"RESTAURANT DEPOT RIVIERA BEACH,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$172.58 
Business/Office,Wholesale,2/5/2022,"RIVIERA BEACH,FL",RESTAURANT DEPOT,"RESTAURANT DEPOT RIVIERA BEACH,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$224.83 
Business/Office,Other Business/Office,6/16/2022,"800-523-4448 ,FL",SHOES FOR CREWS,"SHOES FOR CREWS LLC 800-523-4448 ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$95.98 
Children,Daycare,5/18/2022,"NORTH PALM BE,FL",HAPPY HOUSE,"HAPPY HOUSE PALM BEACH NORTH PALM BE,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$12.85 
Children,Daycare,5/11/2022,"NORTH PALM BE,FL",HAPPY HOUSE,"HAPPY HOUSE PALM BEACH NORTH PALM BE,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$25.95 
Entertainment,Other Entertainment,9/8/2022,"800-653-8000 ,CA",TICKETMASTER,"TM *MAVERICK CITY MUSI 800-653-8000 ,CA",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$148.65 
Entertainment,Other Entertainment,6/20/2022,"800-261-2576 ,IA",GRADIMAGES,"EPG*GRAD IMAGES 800-261-2576 ,IA",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$123.30 
Food/Drink,Coffee Shops,10/28/2022,"LAKE WORTH   ,FL",TEA PLUS,"TEA PLUS LAKE WORTH   ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$23.33 
Food/Drink,Fast Food,12/30/2022,"156-1630463  ,FL",MCDONALD'S,"McDonalds 28730 156-1630463  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$5.45 
Food/Drink,Fast Food,12/24/2022,"156-1844384  ,FL",MCDONALD'S,"McDonalds 468 156-1844384  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$8.45 
Food/Drink,Fast Food,12/22/2022,"RIVIERA BEACH,FL",CHINA WOK,"CHINA WOK RIVIERA BEACH,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$29.16 
Food/Drink,Fast Food,12/16/2022,"LAKE PARK    ,FL",DUNKIN,"DUNKIN #300243 LAKE PARK    ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$20.16 
Food/Drink,Fast Food,11/17/2022,"olo.com      ,FL",POLLO TROPICAL,"POLLO TROPICAL 10048 OLO olo.com      ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$79.55 
Food/Drink,Fast Food,10/26/2022,"RIVIERA BEACH,FL",CHINA WOK,"CHINA WOK RIVIERA BEACH,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$22.11 
Food/Drink,Fast Food,10/25/2022,"olo.com      ,FL",POLLO TROPICAL,"POLLO TROPICAL 10048 OLO olo.com      ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$18.69 
Food/Drink,Fast Food,10/24/2022,"156-1844384  ,FL",MCDONALD'S,"McDonald's 468 156-1844384  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$8.86 
Food/Drink,Fast Food,10/20/2022,"156-1844384  ,FL",MCDONALD'S,"McDonald's 468 156-1844384  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$11.02 
Food/Drink,Fast Food,10/14/2022,"RIVIERA BEACH,FL",CHINA WOK,"CHINA WOK RIVIERA BEACH,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$17.66 
Food/Drink,Fast Food,10/10/2022,"RIVIERA BEACH,FL",CHINA WOK,"CHINA WOK RIVIERA BEACH,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$8.83 
Food/Drink,Fast Food,10/10/2022,"156-1844384  ,FL",MCDONALD'S,"McDonald's 468 156-1844384  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$12.42 
Food/Drink,Fast Food,10/1/2022,"RIVIERA BEACH,FL",CHINA WOK,"CHINA WOK RIVIERA BEACH,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$94.21 
Food/Drink,Fast Food,9/14/2022,"RIVIERA BEACH,FL",CHINA WOK,"CHINA WOK RIVIERA BEACH,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$63.29 
Food/Drink,Fast Food,9/10/2022,"561-691-3972 ,FL",DUNKIN,"DUNKIN #341661 Q35 561-691-3972 ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$13.65 
Food/Drink,Fast Food,9/8/2022,"RIVIERA BEACH,FL",CHINA WOK,"CHINA WOK RIVIERA BEACH,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$17.60 
Food/Drink,Fast Food,9/8/2022,"156-1844384  ,FL",MCDONALD'S,"McDonald's 468 156-1844384  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$6.84 
Food/Drink,Fast Food,9/4/2022,"FT LAUDERDALE,FL",MCDONALD'S,"MCDONALD'S F7158 FT LAUDERDALE,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$136.83 
Food/Drink,Fast Food,8/30/2022,"180-024-4768 ,CA",CHIPOTLE,"CHIPOTLE ONLINE 180-024-4768 ,CA",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$11.61 
Food/Drink,Fast Food,8/26/2022,"RIVIERA BEACH,FL",CHINA WOK,"CHINA WOK RIVIERA BEACH,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$46.01 
Food/Drink,Fast Food,8/17/2022,"PALM BEACH GA,FL",MCDONALD'S,"MCDONALD'S F28730 PALM BEACH GA,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$1.07 
Food/Drink,Fast Food,8/14/2022,"WEST PALM BEA,FL",DOMINOS PIZZA,"DOMINO'S 3879 WEST PALM BEA,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$66.30 
Food/Drink,Fast Food,8/5/2022,"156-1582117  ,FL",MCDONALD'S,"McDonald's 5761 156-1582117  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$6.42 
Food/Drink,Fast Food,8/4/2022,"156-1582117  ,FL",MCDONALD'S,"McDonald's 5761 156-1582117  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$10.69 
Food/Drink,Fast Food,7/31/2022,"FT LAUDERDALE,FL",MCDONALD'S,"MCDONALD'S F7158 FT LAUDERDALE,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$33.36 
Food/Drink,Fast Food,7/31/2022,"FT LAUDERDALE,FL",MCDONALD'S,"MCDONALD'S F7158 FT LAUDERDALE,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$219.16 
Food/Drink,Fast Food,7/27/2022,"156-1630463  ,FL",MCDONALD'S,"McDonald's 28730 156-1630463  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$4.18 
Food/Drink,Fast Food,7/27/2022,"156-1844384  ,FL",MCDONALD'S,"McDonald's 468 156-1844384  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$8.09 
Food/Drink,Fast Food,7/9/2022,"156-1582117  ,FL",MCDONALD'S,"McDonald's 5761 156-1582117  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$11.65 
Food/Drink,Fast Food,7/6/2022,"561-691-3972 ,FL",DUNKIN,"DUNKIN #341661 Q35 561-691-3972 ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$31.03 
Food/Drink,Fast Food,7/1/2022,"LAKE WORTH   ,FL",WENDY'S,"WENDYS 1947 LAKE WORTH   ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$5.94 
Food/Drink,Fast Food,6/29/2022,"RIVIERA BEACH,FL",CHINA WOK,"CHINA WOK RIVIERA BEACH,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$43.87 
Food/Drink,Fast Food,6/28/2022,"156-1844384  ,FL",MCDONALD'S,"McDonald's 468 156-1844384  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$9.41 
Food/Drink,Fast Food,6/15/2022,"561-691-3972 ,FL",DUNKIN,"DUNKIN #341661 Q35 561-691-3972 ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$29.65 
Food/Drink,Fast Food,6/8/2022,"561-691-3972 ,FL",DUNKIN,"DUNKIN #341661 Q35 561-691-3972 ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$31.14 
Food/Drink,Fast Food,5/25/2022,"156-1630463  ,FL",MCDONALD'S,"McDonald's 28730 156-1630463  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$23.50 
Food/Drink,Fast Food,5/19/2022,"156-1844384  ,FL",MCDONALD'S,"McDonald's 468 156-1844384  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$15.13 
Food/Drink,Fast Food,5/18/2022,"156-1844384  ,FL",MCDONALD'S,"McDonald's 468 156-1844384  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$30.64 
Food/Drink,Fast Food,5/14/2022,"561-826-0883 ,FL",DOMINO'S PIZZA,"DOMINO'S 5062 561-826-0883 ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$42.80 
Food/Drink,Fast Food,5/13/2022,"156-1844384  ,FL",MCDONALD'S,"McDonald's 468 156-1844384  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$17.70 
Food/Drink,Fast Food,5/9/2022,"LAKE PARK    ,FL",CHICK-FIL-A,"CHICK-FIL-A #01827 LAKE PARK    ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$14.21 
Food/Drink,Fast Food,5/6/2022,"156-1844384  ,FL",MCDONALD'S,"McDonald's 468 156-1844384  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$23.82 
Food/Drink,Fast Food,5/4/2022,"156-1844384  ,FL",MCDONALD'S,"McDonald's 468 156-1844384  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$29.92 
Food/Drink,Fast Food,4/28/2022,"WEST PALM BEA,FL",CHICK-FIL-A,"PBAU CHICK-FIL-A WEST PALM BEA,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$9.58 
Food/Drink,Fast Food,4/27/2022,"156-1844384  ,FL",MCDONALD'S,"McDonald's 468 156-1844384  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$20.20 
Food/Drink,Fast Food,4/27/2022,"156-1844384  ,FL",MCDONALD'S,"McDonald's 468 156-1844384  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$26.23 
Food/Drink,Fast Food,4/27/2022,"olo.com      ,FL",POLLO TROPICAL,"POLLO TROPICAL 10048 OLO olo.com      ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$51.09 
Food/Drink,Fast Food,4/26/2022,"olo.com      ,FL",POLLO TROPICAL,"POLLO TROPICAL 10048 OLO olo.com      ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$17.19 
Food/Drink,Fast Food,4/21/2022,"156-1844384  ,FL",MCDONALD'S,"McDonald's 468 156-1844384  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$3.84 
Food/Drink,Fast Food,4/20/2022,"NORTH PALM BE,FL",DOMINO'S PIZZA,"DOMINO'S 5062 NORTH PALM BE,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$44.67 
Food/Drink,Fast Food,4/17/2022,"156-1844384  ,FL",MCDONALD'S,"McDonald's 468 156-1844384  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$8.55 
Food/Drink,Fast Food,3/26/2022,"561-641-3030 ,FL",DOMINO'S PIZZA,"DOMINO'S 3880 561-641-3030 ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$32.78 
Food/Drink,Fast Food,3/12/2022,"NORTH PALM BE,FL",DOMINO'S PIZZA,"DOMINO'S 5062 NORTH PALM BE,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$36.36 
